,DocType,PageID,Path,ID
609,HAWB,1,AICST/MF/HAWB/233610-12OCT201712315828_202a0452_124520171012165117-Page(1).pdf,2639651
612,HAWB,1,AICST/MF/HAWB/233609-House Air Waybill_81730_249320171012181931-Page(1).pdf,2639846
616,HAWB,2,AICST/MF/HAWB/233616-1615_001_249320171012220510-Page(2).pdf,2640126
617,HAWB,3,AICST/MF/HAWB/233617-1615_001_249320171012220510-Page(3).pdf,2640126
618,HAWB,4,AICST/MF/HAWB/233618-1615_001_249320171012220510-Page(4).pdf,2640126
619,HAWB,5,AICST/MF/HAWB/233619-1615_001_249320171012220510-Page(5).pdf,2640126
620,HAWB,6,AICST/MF/HAWB/233620-1615_001_249320171012220510-Page(6).pdf,2640126
621,HAWB,7,AICST/MF/HAWB/233621-1615_001_249320171012220510-Page(7).pdf,2640126
622,HAWB,8,AICST/MF/HAWB/233622-1615_001_249320171012220510-Page(8).pdf,2640126
626,HAWB,3,AICST/MF/HAWB/233615-ORD1954_303520171013023504-Page(3).pdf,2640531
628,HAWB,1,AICST/MF/HAWB/233614-HouseAirwayBill64217-10017_249320171013030905-Page(1).pdf,2640569
634,HAWB,3,AICST/MF/HAWB/233613-info@kico-logistics.com_20171012_161201_124520171013070405-Page(3).pdf,2640705
637,HAWB,2,AICST/MF/HAWB/233627-AWBLayout_124520171013101639-Page(2).pdf,2640841
638,HAWB,3,AICST/MF/HAWB/233628-AWBLayout_124520171013101639-Page(3).pdf,2640841
639,HAWB,4,AICST/MF/HAWB/233629-AWBLayout_124520171013101639-Page(4).pdf,2640841
640,HAWB,5,AICST/MF/HAWB/233630-AWBLayout_124520171013101639-Page(5).pdf,2640841
643,HAWB,2,AICST/MF/HAWB/233631-AWBLayout_333320171013101713-Page(2).pdf,2640842
644,HAWB,3,AICST/MF/HAWB/233632-AWBLayout_333320171013101713-Page(3).pdf,2640842
648,HAWB,1,AICST/MF/HAWB/233626-HouseAirwayBill89217-10070_160720171013102127-Page(1).pdf,2640850
653,HAWB,1,AICST/MF/HAWB/233640-JB063366_267820171013115742-Page(1).pdf,2641213
658,HAWB,1,AICST/MF/HAWB/233637-JB063365_156620171013125500-Page(1).pdf,2641359
659,HAWB,1,AICST/MF/HAWB/233638-JB063367_225820171013125500-Page(1).pdf,2641359
662,HAWB,4,AICST/MF/HAWB/233639-img-X13161222-0001_330020171013125509-Page(4).pdf,2641362
666,HAWB,1,AICST/MF/HAWB/233636-WYF1710248_176420171013130222-Page(1).pdf,2641385
669,HAWB,1,AICST/MF/HAWB/233635-1772_001_201620171013131154-Page(1).pdf,2641412
673,HAWB,3,AICST/MF/HAWB/233634-SCAN_20171013101901_129920171013134519-Page(3).pdf,2641493
677,HAWB,4,AICST/MF/HAWB/233645-217-16860745_690220171013145951-Page(4).pdf,2641610
682,HAWB,3,AICST/MF/HAWB/233644-[Untitled]_303520171013155622-Page(3).pdf,2641728
686,HAWB,1,AICST/MF/HAWB/233643-5447187_371120171013160934-Page(1).pdf,2641764
690,HAWB,3,AICST/MF/HAWB/233646-SCAN_20171013131702_800220171013162758-Page(3).pdf,2641815
694,HAWB,1,AICST/MF/HAWB/233647-MX-M502N_20171013_191413_129920171013170021-Page(1).pdf,2641878
698,HAWB,3,AICST/MF/HAWB/233657-20171013141413100_229420171013181135-Page(3).pdf,2642052
701,HAWB,1,AICST/MF/HAWB/233656-00120887_333320171013182516-Page(1).pdf,2642076
706,HAWB,2,AICST/MF/HAWB/233668-1625_001_374920171013191554-Page(2).pdf,2642190
707,HAWB,3,AICST/MF/HAWB/233669-1625_001_374920171013191554-Page(3).pdf,2642190
708,HAWB,4,AICST/MF/HAWB/233670-1625_001_374920171013191554-Page(4).pdf,2642190
709,HAWB,5,AICST/MF/HAWB/233671-1625_001_374920171013191554-Page(5).pdf,2642190
713,HAWB,3,AICST/MF/HAWB/233667-Pre alert DEL_303520171013201007-Page(3).pdf,2642275
717,HAWB,3,AICST/MF/HAWB/233666-10132017-164208[Untitled]_303520171013204505-Page(3).pdf,2642320
721,HAWB,3,AICST/MF/HAWB/233665-10132017-165057[Untitled]_350420171013205410-Page(3).pdf,2642333
725,HAWB,3,AICST/MF/HAWB/233664-Pre_alert20171014010327245_303520171013224405-Page(3).pdf,2642449
729,HAWB,3,AICST/MF/HAWB/233663-Pre_alert20171014011232981_303520171013225006-Page(3).pdf,2642470
733,HAWB,3,AICST/MF/HAWB/233662-9255_303520171013235008-Page(3).pdf,2642555
737,HAWB,3,AICST/MF/HAWB/233660-JFK3716_303520171014015902-Page(3).pdf,2642775
738,HAWB,4,AICST/MF/HAWB/233661-JFK3716_303520171014015902-Page(4).pdf,2642775
741,HAWB,3,AICST/MF/HAWB/233659-JFK3740_230120171014022007-Page(3).pdf,2642868
744,HAWB,3,AICST/MF/HAWB/233658-SKM_28717101409583_303520171014074403-Page(3).pdf,2643115
747,HAWB,3,AICST/MF/HAWB/233672-SKM_28717101416500_303520171014132530-Page(3).pdf,2643266
751,HAWB,3,AICST/MF/HAWB/233690-160-5378 1895 Pre-alert doc_60320171014161736-Page(3).pdf,2643399
755,HAWB,3,AICST/MF/HAWB/233689-ORD1994_303520171014201404-Page(3).pdf,2643489
759,HAWB,4,AICST/MF/HAWB/233688-ATL0303_195120171014202440-Page(4).pdf,2643491
762,HAWB,3,AICST/MF/HAWB/233687-MIA0638_303520171014213403-Page(3).pdf,2643547
765,HAWB,3,AICST/MF/HAWB/233686-5511_303520171015023704-Page(3).pdf,2643861
769,HAWB,3,AICST/MF/HAWB/233685-JFK3791_303520171015024305-Page(3).pdf,2643874
772,HAWB,3,AICST/MF/HAWB/233682-JFK3751_303520171015024804-Page(3).pdf,2643875
773,HAWB,4,AICST/MF/HAWB/233683-JFK3751_303520171015024804-Page(4).pdf,2643875
777,HAWB,4,AICST/MF/HAWB/233684-JFK3782_229420171015024807-Page(4).pdf,2643876
780,HAWB,3,AICST/MF/HAWB/233681-DFW3283_303520171015032304-Page(3).pdf,2643908
